Name,Image,Team,Batting_Style,Bowling_Style,Playing_Role
Jitesh Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTF3eCx-Op_RnY3zRNIyjYKzZaP4ZrooJecUAfQ_o78szN9Ng5JNbLzP6pz9A&s,Punjab Kings ,Right hand Bat,,Wicketkeeper Batter
Shivam Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDWnm9k9o7WrkB55lmWPQGXIV4YB1w9VR7hdKH__R-4Bx4WqVxbdjVMa_GXkQ&s,Punjab Kings ,Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Short,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ__Phrfcbbxp20AFSrb_VpzF_3LQvWh3WPA-nIi47phjrL58N5qtdvdINFg&s,Punjab Kings ,Right hand Bat,Right arm Offbreak,Top order Batter
Sikandar Raza,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFGuracsxiF9WtjPat7WowNVocd9SCvINYMx8K9TvZpgBY120MNU__ZWffPQ&s,Punjab Kings ,Right hand Bat,Right arm Offbreak,Batting Allrounder
Atharva Taide,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQd04NWPe9k2csOC0Ei0dL2kNXZLJzuETmRQxQH0uIhnsg-fHWpr6rjJT8aieA&s,Punjab Kings ,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Jonny Bairstow,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNL8s2QoMrGV65Pfpolzhv8oyRXAfdzwZ1T40otbwuaj9ChHwzsbAmCCtX08U&s,Punjab Kings ,Right hand Bat,Right arm Medium,Wicketkeeper Batter
RajÂ Bawa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSlmbj1a5mQAcfK8tmrWIjtHpaeb9KDRsNo3XcHHjbW8XHFcPwC5FLJSXjMg&s,Punjab Kings ,Left hand Bat,Right arm Medium fast,Allrounder
Sanju Samson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLwrc0ijYEekb7zMghWdR1DeR9zrE-QGH8YLI95W6lTe2k0Vb4sA2m3UQMow&s,Rajasthan Royals ,Right hand Bat,,Wicketkeeper Batter
Abdul Basith,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCip34mufcDCbYahNV3cTMZwvLmkvTlioJi3_Suk3nKR06RsDXxd4qFXZLlqc&s,Rajasthan Royals ,Right hand Bat,Right arm Offbreak,Allrounder
Murugan Ashwin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkfvSvwtgn19Y5p8p0ph-vZ6B2wrFYryBQg8ODPjS9G5ul9dYdKD03INxIwQ&s,Rajasthan Royals ,Right hand Bat,Legbreak Googly,Bowler
Ravichandran Ashwin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjXnWPqMNGozG-TM6-H5s99RqieGx3D8FVIzao8P_AQI5de09KGpcBEY_eLQ&s,Rajasthan Royals ,Right hand Bat,Right arm Offbreak,Bowling Allrounder
KM Asif,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP-1g-YFjFXlfpEzafvOMRVrPtMMdpap2TOyUjKScIN0DZoH9tTxyDWHmynEU&s,Rajasthan Royals ,Right hand Bat,Right arm Medium,Bowler
Trent Boult,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8Mi2WQvnPP7XMjWC7HYh5ygOb6ULn0LaotYHOV2wSnpz4dXxR5AADysdJafA&s,Rajasthan Royals ,Right hand Bat,Left arm Fast medium,Bowler
Jos Buttler,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ98c7CGs1CnLtgKathV0WfHFtecqsDf2w61Wj0V4jfbHuDIJgr3R-kQ_aiSQ&s,Rajasthan Royals ,Right hand Bat,,Wicketkeeper Batter
KC Cariappa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSY3BFbx9KW-JfL1b4bxoOiGosiGc4z9dKoQusQhojWGnmyFkfIc7HhPt3s-xI&s,Rajasthan Royals ,Right hand Bat,Legbreak,Bowler
Yuzvendra Chahal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMGuhm431H-sPBW0s2xiEiaELpuFLSeQ-FeiUGpwKIsbK0J0coTNaTWpYJ52Y&s,Rajasthan Royals ,Right hand Bat,Legbreak Googly,Bowler
Donovan Ferreira,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNTI2AaJg2jCuiXfAbip7cwij2vERlMFl2NjTJgS701paDV1XgXkbExl6D3g&s,Rajasthan Royals ,Right hand Bat,,Allrounder
Shimron Hetmyer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjcKG7W9METl0Mt4tjo8gebCBZwTzzMqOOpKQTFKKwQJLaQF6cgvURTUHBWQ&s,Rajasthan Royals ,Left hand Bat,,Top order Batter
Jason Holder,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwustPXzmkpw_jk7y1ATc22aq7uNudIl4qunQX5t_J39s7TQNdeedRUjbXwA&s,Rajasthan Royals ,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Yashasvi Jaiswal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0HzhXbicFKYEIEOk6DwqGWk7QXma1ZH202NZqxvyWGzbI6qRspkYbspX4Xw&s,Rajasthan Royals ,Left hand Bat,Legbreak,Opening Batter
Dhruv Jurel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGQp924LDJkuzYLmQpzyE0YeSj30oRnRqitHnspsMMXktpFsGxY4Se1BSo4_k&s,Rajasthan Royals ,Right hand Bat,,Wicketkeeper Batter
Obed McCoy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLCc4G982ELebbYOxCyudPQtkSPBrRUYhgdj5bTdP8ew056kx-oKSVVZGKbw&s,Rajasthan Royals ,Left hand Bat,Left arm Fast medium,Bowler
Devdutt Padikkal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ82jKSC0Pj5eZK7utvPBiNQhtfkThJnluOtTMbcFnKDnspXv-0KBSxC555SA&s,Rajasthan Royals ,Left hand Bat,Right arm Offbreak,Top order Batter
Riyan Parag,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRk7m_DWC_uv_hTdCTMAJuI4PXq4YP9ME5rL3LRg0749_4oED8KcOMvRCnbPs&s,Rajasthan Royals ,Right hand Bat,Legbreak,Top order Batter
Kunal Singh Rathore,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8lXS29B1A_gRLmG72trkevqn0O3q9IJle0KWm153vXlEZaNOQgKQvtvc3IPg&s,Rajasthan Royals ,Left hand Bat,,Wicketkeeper Batter
Joe Root,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5c1NflzLSVQs0VchzdAfVvRRtTJVbpAZDW9N8zMoX-tHiPUjejAfNxLyA7Q&s,Rajasthan Royals ,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
Navdeep Saini,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScT0WmijLnqJnsxFaOKekQaeAC1XMWQaOC57BdZdmN8P5va5l5QUUSCSiJbQ&s,Rajasthan Royals ,Right hand Bat,Right arm Fast,Bowler
Sandeep Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrbpp08m2mMJVLVQ3rVmJprAkISfoavOF3y3Sbl-uf0P527VCYeGNndYMo4w&s,Rajasthan Royals ,Right hand Bat,Right arm Medium,Bowler
Kuldeep Sen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiCDTTrnH830YrPY4kklzwAmOcit62vTc0oty7FffSgJff-xkFiLQEMl_diO4&s,Rajasthan Royals ,Right hand Bat,Right arm Fast,Bowler
Akash Vasisht,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQq5nGafXUHulWEDkPEnrPgnb2g0psv68IWRSgK1kZlhDyhs-8l_LBhd9juIOc&s,Rajasthan Royals ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Kuldip Yadav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLfTWXzRV-ZfPFMFBfrURzNhMN6HEsV9vKDZ8m2y1577h4jKqHO633aLNt7A&s,Rajasthan Royals ,Left hand Bat,Left arm Fast medium,Bowler
Adam Zampa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOTkse0eb0YLHMUrbfDevOcRLzE2McaXHsnAV-nSyiEAubp1LWQ1DUbK3AGg&s,Rajasthan Royals ,Right hand Bat,Legbreak Googly,Bowler
Prasidh Krishna,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDCIXtPn-twX8w6vNN_N6mJQ8rd0oUhihc96a4nc9bpn3GqYcKhSPOz-kSYA&s,Rajasthan Royals ,Right hand Bat,Right arm Fast medium,Bowler
Faf du Plessis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmnIMSXVpz0L_8EpS9GjiRmvbu3l4aheDlA6Oqa86yxv0KpYakbNp8asT4wSw&s,Royal Challengers Bangalore ,Right hand Bat,Legbreak,Middle order Batter
Akash Deep,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8Fv8NbXFF7_BCh6O0uLdpD8gRpZ5IEha7FD462QfSb7dO8qKwnPDpnTgJiNU&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Finn Allen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtHIZvEp8SHoTmNQ-fKSj-A5ScrDWj49smnhIM4kiBCzTjoHJq86oTZ0L7gw&s,Royal Challengers Bangalore ,Right hand Bat,,Top order Batter
Anuj Rawat,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCWc5e3ICCoqgnKKlm25sNrB52CJCjvqT2xWjrn1uuP_TXgY4ds-UXHG4LzTA&s,Royal Challengers Bangalore ,Left hand Bat,,Wicketkeeper Batter
Avinash Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwKtzLKJh7i7ObERFVf1_84hcIcbhFfiZkypS0FGp4bl_gljqirP6UTAhsICQ&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Fast,Bowler
Manoj Bhandage,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoWtzIcNuO4-m-fZKzfUQo_8dpamN6DfqIcc1XuAwV75pAOsDST06xshc2o6k&s,Royal Challengers Bangalore ,Left hand Bat,Right arm Medium fast,Allrounder
Michael Bracewell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQMhpykvmJVdRXgXyAsapD5mBSq46f3MpE9WAmnKwiTvOAMgVERMOFU0TIWw&s,Royal Challengers Bangalore ,Left hand Bat,Right arm Offbreak,Batting Allrounder
Wanindu Hasaranga,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgaZjCenIiukghcf6RqfxHSsCW9f6STDvPQEkVZrYvAvoolrCXgsG0hODhWdQ&s,Royal Challengers Bangalore ,Right hand Bat,Legbreak,Allrounder
Josh Hazlewood,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgosMoBFYmy_FOhb_M5z69TUcTxuTbrR-tZP2RukASv_stdAfMiZHvJO6jRrc&s,Royal Challengers Bangalore ,Left hand Bat,Right arm Fast medium,Bowler
Kedar Jadhav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiqsdZkgbZ_Q14R-VJiKl647S08wzUnj7FA9R3Zxv6tt9nptMWAO8u5PL1LF4&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Offbreak,Batting Allrounder
Dinesh Karthik,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-BExjJYvfuE01pMURmRyXTQohEWA8z3DEKqEVKlgxkkR4DQsH9_4SWazoilQ&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Siddarth Kaul,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDILB3c7s6BpXBVhwfwiRL02S7Kqvg_wonDFQrLADtI-iu1e3SmZ6JyWT2bDs&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Medium,Bowler
Virat Kohli,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfcn915LvgWWXAYAMFecZZTr4ZQLuqT0X9-SBLH-oeDvK7NpTRf22hKAb1Sw&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Medium,Top order Batter
Mahipal Lomror,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGb1YoVuvG_XVBXLaTdIZE8dD_BVQYAFS_u5h1kiSw_Nan-BRkB21O6hpKdQ&s,Royal Challengers Bangalore ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Glenn Maxwell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4mxtaE60w6ClzquCX05NfiBVtN5O786TWXzxi_tTRrbApNQHK4-SKn-0J24M&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Offbreak,Batting Allrounder
Mohammed Siraj,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSARsAcRS7A5QFD6FhuAPHV5WM0VoX451yiFQPDjIJhhGwiJ14hdyzEl-VUNw&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Fast,Bowler
Wayne Parnell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpM-JQLPy25DTepFaAxPbRhOKU4eDrSzuTtQx4AABoW85mympO0p8cyCriuEM&s,Royal Challengers Bangalore ,Left hand Bat,Left arm Medium fast,Bowler
Harshal Patel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1w2aOr2w74m8gX_RcW5Pk-x-VnnS5YMB00jbFo6fsFuBzPPkcqZ0sCZT-JA&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Medium,Bowler
Suyash Prabhudessai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSIVVpQnCG4Fs52BNv0aeRtjTzdNcW7wCOdajGm3xX29gv3kPNVGnCPQXHB68&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Medium,Batting Allrounder
Rajan Kumar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5ucuGZ6MluPToagyNt23l-wMP3b3_IgX3fo65Bq8Y0zlqpvDUWWh2g0LI_As&s,Royal Challengers Bangalore ,Left hand Bat,Left arm Medium fast,Bowler
Shahbaz Ahmed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSctTfU2h5EzCWbaKW0O-zhP5xnCAzMYeAngyLph6Gf88hnVPUikFC0aaf_UBQ&s,Royal Challengers Bangalore ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Himanshu Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAMDqg8eLUsjMhB1kLtmzGzwDuygO_7PMwgcCAXV2MA_Qrz6RpFtGApwdCTuM&s,Royal Challengers Bangalore ,Right hand Bat,Legbreak,Bowler
Karn Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjC8BYZtf-9a2F_uLBfYiNa2SAn6cO5xB9zDX3TmK5PyChopsC4bek89n0UPQ&s,Royal Challengers Bangalore ,Left hand Bat,Legbreak Googly,Bowler
Sonu Yadav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBWq0qcphgu0bNybCBQL9ibAAz8dxQWnOcyhrT9jKxnLSSDkixg4esaf7JMYI&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Medium fast,Allrounder
Vijaykumar Vyshak,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx7MgPAFmjjhiPkJiPut75zISBTLLbbYcc4wK1mLKAaeUFL6INA0_KRW8Xq2k&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Medium,Bowler
Will Jacks,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKZLzCKZ4mrZGjIinHJ660h0p3j-UzsLLwG66xR_jfKtTC2tfuPa_05sZPIg&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Offbreak,Batter
Rajat Patidar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0GnQkxoGOycyJGxC7AHjEK0e1caufRhs7TYxuQ2_1FDPr-rgknxSJKtwg2w&s,Royal Challengers Bangalore ,Right hand Bat,Right arm Offbreak,Top order Batter
Reece Topley,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZIsi2rVlRzFy_7R94mq05PTe37asgjxFVxXfPGyrL742ci-xiUrkC_P4Edw&s,Royal Challengers Bangalore ,Right hand Bat,Left arm Fast medium,Bowler
David Willey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOtDS43ORYsemEHyE5k8ZS5qb5xjSCGdVeWhLWs9ULKZndaNokRiZBDZDP-NM&s,Royal Challengers Bangalore ,Left hand Bat,Left arm Fast medium,Bowling Allrounder
Aiden Markram,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPYqySSD7ePyc6BLnK4LYwuW1WltzHrNSu9uzeYtWVADHCVAad6lVapGcy-Og&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Offbreak,Opening Batter
Abdul Samad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHdvGrX3AIPuvP7Ru7mAK2uOx48g1Kt_jx5LH1zBPHXwWJOnwLg8aj-erdHvM&s,Sunrisers Hyderabad ,Right hand Bat,Legbreak,Batter
Abhishek Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYi1y3PAowQoTwGG50udpZRaH4YZ05oZfBUkCt1TZW_asCM7o9vMcsrpM1K8I&s,Sunrisers Hyderabad ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mayank Agarwal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ90VRWIWTt91ktNC63lJ35KHeKiIHzblQHX_kBCS5bpDV97ba36f9-0e2Pxg&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Offbreak,Batter
Anmolpreet Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOPmCtSnv6HrbwE6wW7pB8TE7SVniuPcxAYaQ2b_AtLFgYLnc-nQl7gDUo6Q&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Offbreak,Batter
Harry Brook,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThvwOMHV3dOA5bsFNgNNMzN3bCzqH_9VnVsU0FAldPvLQMOWNP1l0GiUdfuAU&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Medium,Batter
Mayank Dagar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy1A-x4YW6JsS4f3-fiGVhNMR1X3QRA2W3RLPoCgz8OBij2G0yz-71-vVGXw&s,Sunrisers Hyderabad ,Right hand Bat,Slow Left arm Orthodox,Bowler
Fazalhaq Farooqi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR44x5bAuIxhyKRLiWlJw9SvkExDq_LuUG9SbI2C9O2K4D7PFXnqfipzUtwRcw&s,Sunrisers Hyderabad ,Right hand Bat,Left arm Fast medium,Bowler
Akeal Hosein,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtKBcl8khRco7IoPtKpla3aWL60JrVQjFD63GyJKjldK2F4d5NiHdZ8dQ5PLw&s,Sunrisers Hyderabad ,Left hand Bat,Slow Left arm Orthodox,Bowler
Marco Jansen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDAs2k8R2-4SXRdm2xCKforQ-eIDhI8Zt9SivUCvNEuvVpNDRoDd3YSTg0kPE&s,Sunrisers Hyderabad ,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Kartik Tyagi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1_Tpb7wPaS6DBaBEfMxQD6RoP07VIWPJnE4cJcmeWO7LPiJGmBZWi_Rpl2mg&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Fast,Bowler
Heinrich Klaasen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSON1TWDFsdm09xYCHZoluiPdxWAkO1CmQVzsC7hOFHXDsUgo_RJ3eknv2JIQ&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Bhuvneshwar Kumar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKXNJ_KaQtAJSXLAhsUb1I526Ad6Oq5wqDR73jtMZMKLHG5ZegyPqZhQudvA&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Medium,Bowler
Mayank Markande,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKyTln1TLo60bEg9txTNJAK4G4-mc3C5ms49WVwN9bGeGiCvdDCJ3WdnEJxjA&s,Sunrisers Hyderabad ,Right hand Bat,Legbreak,Bowler
T Natarajan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLo1selkrwktxUIX3B0MmLyVYp0Ba4lkOf3050NFltBsXnukfcDODLCCmI1qE&s,Sunrisers Hyderabad ,Left hand Bat,Left arm Medium,Bowler
Nitish Kumar Reddy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmN9lA-HAjdQXqSOQfekBI1M8enuBrvSDxa-gWapSBSGTj0EeqZNSOogfQbYY&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Medium fast,Batting Allrounder
Glenn Phillips,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfbQwgf0Kpqod4qok_TnGwQdYX8XYmSUoo9sZ7REaVLsQxNp0kC0jIcirPrMk&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Adil Rashid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDlUm9zk9vXVuCLx6attwKdP9n2DVZB9bXblzhRNCPJegbREz2xcI-6qphfg&s,Sunrisers Hyderabad ,Right hand Bat,Legbreak,Bowler
Sanvir Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJNSbh7hNRvu-ZxJLRE-fSIhm2gkl4WJh1fc_BkJ4Xt54FWs2ipm823EXcNrk&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Medium,Allrounder
Rahul Tripathi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-xQrwD0Chb8BHRp3MX8C4GSrfJSUjkvyMdfKCzVQyMrqglFQQps7ZrKtBQw&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Medium,Top order Batter
Umran Malik,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeEZFa61nD4Jf6x9oPX3dS0vIeDIJNBuKkRWlV7QydXSegWlcZnOt20iKO1w&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Fast,Bowler
Vivrant Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzwu4LE66mvd7mBw5ZbCtYScfc8UansvnLqMkaMzf-9lbGwdoof884yMyM-CA&s,Sunrisers Hyderabad ,Left hand Bat,Legbreak Googly,Allrounder
Samarth Vyas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgDhQvvkQhsSUHuJJ77ZwndcTdlngfl17pkrRlDqIr6vbcuinHb0xnY8cNLA&s,Sunrisers Hyderabad ,Right hand Bat,Legbreak Googly,Allrounder
Upendra Yadav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC7yoHwQpCQ2RbYQvWNF7HWazhhK0IQ5HKh2gWpdN-1iMMeSjoIIEaV6C8ZA&s,Sunrisers Hyderabad ,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Washington Sundar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQEHZJuY9VslUaHfuUrK-Cj27ltb869h0k59uYenXSf0PxLZ9PfOSddebrEZs&s,Sunrisers Hyderabad ,Left hand Bat,Right arm Offbreak,Bowling Allrounder
